NAME_0;NAME_1;GID_1;large_port
Mexico;Aguascalientes;MEX.1_1;0
Mexico;Baja California;MEX.3_1;0
Mexico;Baja California Sur;MEX.2_1;0
Mexico;Campeche;MEX.4_1;0
Mexico;Chiapas;MEX.5_1;0
Mexico;Chihuahua;MEX.6_1;0
Mexico;Coahuila;MEX.7_1;0
Mexico;Colima;MEX.8_1;1
Mexico;Distrito Federal;MEX.9_1;0
Mexico;Durango;MEX.10_1;0
Mexico;Guanajuato;MEX.11_1;0
Mexico;Guerrero;MEX.12_1;0
Mexico;Hidalgo;MEX.13_1;0
Mexico;Jalisco;MEX.14_1;0
Mexico;México;MEX.15_1;0
Mexico;Michoacán;MEX.16_1;0
Mexico;Morelos;MEX.17_1;0
Mexico;Nayarit;MEX.18_1;0
Mexico;Nuevo León;MEX.19_1;0
Mexico;Oaxaca;MEX.20_1;0
Mexico;Puebla;MEX.21_1;0
Mexico;Querétaro;MEX.22_1;0
Mexico;Quintana Roo;MEX.23_1;0
Mexico;San Luis Potosí;MEX.24_1;0
Mexico;Sinaloa;MEX.25_1;1
Mexico;Sonora;MEX.26_1;1
Mexico;Tabasco;MEX.27_1;0
Mexico;Tamaulipas;MEX.28_1;1
Mexico;Tlaxcala;MEX.29_1;0
Mexico;Veracruz;MEX.30_1;1
Mexico;Yucatán;MEX.31_1;0
Mexico;Zacatecas;MEX.32_1;0
Peru;Amazonas;PER.1_1;0
Peru;Ancash;PER.2_1;0
Peru;Apurímac;PER.3_1;0
Peru;Arequipa;PER.4_1;0
Peru;Ayacucho;PER.5_1;0
Peru;Cajamarca;PER.6_1;0
Peru;Callao;PER.7_1;0
Peru;Cusco;PER.8_1;0
Peru;Huancavelica;PER.9_1;0
Peru;Huánuco;PER.10_1;0
Peru;Ica;PER.11_1;0
Peru;Junín;PER.12_1;0
Peru;La Libertad;PER.13_1;0
Peru;Lambayeque;PER.14_1;0
Peru;Lima;PER.16_1;1
Peru;Lima Province;PER.15_1;0
Peru;Loreto;PER.17_1;0
Peru;Madre de Dios;PER.18_1;0
Peru;Moquegua;PER.19_1;0
Peru;Pasco;PER.20_1;0
Peru;Piura;PER.21_1;0
Peru;Puno;PER.22_1;0
Peru;San Martín;PER.23_1;0
Peru;Tacna;PER.24_1;0
Peru;Tumbes;PER.25_1;0
Peru;Ucayali;PER.26_1;0
Chile;Aisén del General Carlos Ibáñez del Campo;CHL.1_1;0
Chile;Antofagasta;CHL.2_1;1
Chile;Araucanía;CHL.3_1;0
Chile;Arica y Parinacota;CHL.4_1;1
Chile;Atacama;CHL.5_1;0
Chile;Bío-Bío;CHL.6_1;1
Chile;Coquimbo;CHL.7_1;1
Chile;Libertador General Bernardo O'Higgins;CHL.8_1;0
Chile;Los Lagos;CHL.9_1;0
Chile;Los Ríos;CHL.10_1;0
Chile;Magallanes y Antártica Chilena;CHL.11_1;0
Chile;Maule;CHL.12_1;0
Chile;Ñuble;CHL.13_1;1
Chile;Región Metropolitana de Santiago;CHL.14_1;0
Chile;Tarapacá;CHL.15_1;0
Chile;Valparaíso;CHL.16_1;1
